197|303|1239|firefox|1
108|311|1049|msie|0
110|331|1049|msie|0
143|362|1049|msie|0
158|336|1120|safari|1
165|355|1120|safari|1
177|265|1120|safari|1
153|311|1120|safari|1
316|335|1419|msie|0
319|360|1419|msie|0
487|717|1419|msie|0
607|716|1419|msie|0
797|661|1419|msie|0
624|488|768|msie|0
1034|413|1423|safari|1
326|355|1423|safari|1
314|377|1423|safari|1
580|679|1007|firefox|1
317|697|1007|firefox|1
321|221|1419|msie|0
330|524|1419|msie|0
338|333|1419|msie|0
349|476|1419|msie|0
737|482|1003|msie|0
248|63|1419|msie|0
334|688|1003|msie|0
839|437|1014|safari|1
881|381|1014|safari|1
537|375|1014|safari|1
537|375|1014|safari|1
509|713|1419|msie|0
1042|427|1423|safari|1
972|407|1308|firefox|1
233|651|1423|firefox|1
171|366|1423|firefox|1
312|325|1411|msie|0
317|355|1411|msie|0
